,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cvnets,Python
76,ml-cvpr2019-swd,Python
77,ml-dab,Python
78,ml-data-parameters,Python
79,ml-dataset-decomposition,Python
80,ml-delphi,
81,ml-depth-pro,Python
82,ml-destseg,Python
83,ml-diffusion-alignment-gflownet,Python
84,ml-direct2.5,Python
85,ml-divide-or-conquer,Python
86,ml-dms-dataset,Python
87,ml-dprecs,Jupyter Notebook
88,ml-dr,Python
89,ml-duet,Python
90,ml-entity-deduction-arena,Python
91,ml-entropy-reconstruction,Python
92,ml-envmapnet,Python
93,ml-equivariant-neural-rendering,Jupyter Notebook
94,ml-facelit,Python
95,ml-famae,Python
96,ml-fastvit,Python
97,ml-fct,Python
98,ml-ferret,Python
99,ml-finerecon,Python
100,ml-flair,Jupyter Notebook
101,ml-gaudi,
102,ml-gbc,Python
103,ml-gendered-translation,Ruby
104,ml-gmpi,Python
105,ml-gsm-symbolic,
106,ml-gsn,Python
107,ml-hd-gist,Python
108,ml-heart-rate-models,Python
109,ml-hierarchical-confusion-matrix,TypeScript
110,ml-hugs,Python
111,ml-hypercloning,Python
112,ml-hypersim,Python
113,ml-interactive-data-augmentation,Svelte
114,ml-interspeech2022-phi_rtn,
115,ml-jointnet,Python
116,ml-key-retrieval-code-tasks,Python
117,ml-keyframer,JavaScript
118,ml-kg-mt,Python
119,ml-kge,Python
120,ml-knowledge-conflicts,Python
121,ml-kpconvx,Python
122,ml-live-pose,
123,ml-llarp,Python
124,ml-lucid-datagen,Python
125,ml-mad-bench,Jupyter Notebook
126,ml-mcf,Python
127,ml-mdm,Python
128,ml-mgie,Python
129,ml-mia-bench,Jupyter Notebook
130,ml-MixupMP,Python
131,ml-mkqa,Python
132,ml-mobileclip,Python
133,ml-mobileone,Swift
134,ml-mofi,Python
135,ml-multiple-futures-prediction,Python
136,ml-mycelium,JavaScript
137,ml-ncg,Python
138,ml-negative-sampling,Python
139,ml-neilf,Python
140,ml-neilfpp,Python
141,ml-neuman,Python
142,ml-no-token-left-behind,Jupyter Notebook
143,ml-np-rasp,Python
144,ml-nvas3d,Python
145,ml-ogen,Python
146,ml-pgdvs,Python
147,ml-planner,Python
148,ml-pointconvformer,Python
149,ml-pointersect,Python
150,ml-probabilistic-attention,Python
151,ml-projunit,Python
152,ml-qrecc,Python
153,ml-quant,Python
154,ml-recurrent-drafter,Python
155,ml-reed,Python
156,ml-rlgrad,Python
157,ml-robust-expert-augmentations,Python
158,ml-rpm-bench,Python
159,ml-sad,Python
160,ml-sampleplan,Python
161,ml-selfcond,Python
162,ml-shuffling-amplification,Python
163,ml-sigma-reparam,Python
164,ml-sigmoid-attention,Python
165,ml-slowfast-llava,Python
166,ml-spatial-librispeech,
167,ml-speech-is-more-than-words,
168,ml-spin,Python
169,ml-stable-diffusion,Python
170,ml-stabledreamer,
171,ml-stuttering-events-dataset,Python
172,ml-superposition-prompting,Python
173,ml-symphony,Svelte
174,ml-tarflow,Python
175,ml-tic-clip,Python
176,ml-toad,Python
177,ml-tract,Python
178,ml-transcript-translation-consistency-ratings,
179,ml-translate-vis,TypeScript
180,ml-tree-dst,Python
181,ml-tune-mode-convbn,Python
182,ml-tweak,Python
183,ml-upscale,Jupyter Notebook
184,ml-uwac,Python
185,ml-veclip,Jupyter Notebook
186,ml-vfi-smiff,Python
187,ml-vfm-kt,
188,ml-vision-transformers-ane,Python
189,music-feed-examples,Java
190,openjdk,Java
191,password-manager-resources,JavaScript
192,pfl-research,Jupyter Notebook
193,pkl,Java
194,pkl-evolution,
195,pkl-go,Go
196,pkl-go-examples,Go
197,pkl-intellij,Kotlin
198,pkl-jvm-examples,Groovy
199,pkl-k8s,Pkl
200,pkl-k8s-examples,Pkl
201,pkl-lang.org,JavaScript
202,pkl-lsp,Kotlin
203,pkl-neovim,Scheme
204,pkl-package-docs,Kotlin
205,pkl-pantry,Pkl
206,pkl-project-commons,Pkl
207,pkl-spring,Java
208,pkl-swift,Swift
209,pkl-swift-examples,Swift
210,pkl-vscode,TypeScript
211,pkl.tmbundle,
212,pytorch-speech-features,Python
213,rules_pkl,Starlark
214,sample-backyard-birds,Swift
215,sample-cloudkit-coredatasync,Swift
216,sample-cloudkit-encryption,Swift
217,sample-cloudkit-privatedb,Swift
218,sample-cloudkit-privatedb-sync,Swift
219,sample-cloudkit-queries,Swift
220,sample-cloudkit-sharing,Swift
221,sample-cloudkit-sync-engine,Swift
222,sample-cloudkit-tooling,JavaScript
223,sample-cloudkit-zonesharing,Swift
224,sample-food-truck,Swift
225,security-pcc,Swift
226,servicetalk,Java
227,swift-3-api-guidelines-review,Swift
228,swift-algorithms,Swift
229,swift-argument-parser,Swift
230,swift-asn1,Swift
231,swift-async-algorithms,Swift
232,swift-async-dns-resolver,Swift
233,swift-atomics,Swift
234,swift-cassandra-client,Swift
235,swift-certificates,Swift
236,swift-clang,C++
237,swift-clang-tools-extra,C++
238,swift-cluster-membership,Swift
239,swift-cmake-examples,CMake
240,swift-collections,Swift
241,swift-collections-benchmark,Swift
242,swift-compiler-rt,C
243,swift-container-plugin,Swift
244,swift-crypto,Assembly
245,swift-distributed-actors,Swift
246,swift-distributed-tracing,Swift
247,swift-distributed-tracing-baggage-core,Swift
248,swift-distributed-tracing-extras,Swift
249,swift-embedded-examples,Swift
250,swift-evolution-staging,Swift
251,swift-for-wasm-examples,Swift
252,swift-getting-started-cli,Swift
253,swift-getting-started-package-library,Swift
254,swift-homomorphic-encryption,Swift
255,swift-homomorphic-encryption-protobuf,
256,swift-http-structured-headers,Swift
257,swift-http-types,Swift
258,swift-internals,HTML
259,swift-issues,
260,swift-libcxx,C++
261,swift-llbuild2,Swift
262,swift-lldb,C++
263,swift-llvm,LLVM
264,swift-log,Swift
265,swift-matter-examples,Swift
266,swift-metrics,Swift
267,swift-metrics-extras,Swift
268,swift-migration-guide,Markdown
269,swift-mmio,Swift
270,swift-nio,Swift
271,swift-nio-examples,Swift
272,swift-nio-extras,Swift
273,swift-nio-http2,Swift
274,swift-nio-imap,Swift
275,swift-nio-nghttp2-support,Swift
276,swift-nio-oblivious-http,Swift
277,swift-nio-ssh,Swift
278,swift-nio-ssl,C++
279,swift-nio-ssl-support,Swift
280,swift-nio-transport-services,Swift
281,swift-nio-zlib-support,Swift
282,swift-numerics,Swift
283,swift-openapi-generator,Swift
284,swift-openapi-runtime,Swift
285,swift-openapi-urlsession,Swift
286,swift-playdate-examples,Swift
287,swift-protobuf,Swift
288,swift-protobuf-plugin,
289,swift-protobuf-test-conformance,
290,swift-sample-distributed-actors-transport,Swift
291,swift-service-context,Swift
292,swift-service-discovery,Swift
293,swift-standard-library-preview,Swift
294,swift-statsd-client,Swift
295,swift-string-processing-benchmarks,Swift
296,swift-system,Swift
297,swift-tools-support-async,Swift
298,swift-xcode-playground-support,Swift
299,swiftpm-on-llbuild2,Swift
300,tensor-visualizer,Svelte
301,tensorflow_macos,Shell
302,ToolSandbox,Python
303,tree-sitter-pkl,C
304,turicreate,C++
305,unityplugins,C#
306,VideoFlashingReduction,Mathematica
307,vqg-multimodal-assistant,Python
